Orig_Inv_Ttl_Prod_Value,DateTransactionJulian,DateInvoiceJulian,Total_Credit,Orig_Inv_Total_Due,Reference1,NameAlpha,State,City,ZipCodePostal,Country,City99,Return_By_State,Return_By_Zip,Return_Country,Error_Desc
365.0,2019-04-25,2019-04-24,328.5,365.0,HCA100198910159,H D SMITH CARSON-CA,CA,CARSON,90746,USA,CARSON,CA,90746,USA,
150.0,2019-04-26,2019-04-25,135.0,150.0,HIL100199440041,H D SMITH SPRINGFIELD-IL,IL,SPRINGFIELD,62703,USA,SPRINGFIELD,IL,62703,USA,
71.55,2019-04-26,2019-04-25,64.395,71.55,HNH100199910039,H D SMITH STRATHAM-NH,NH,STRATHAM,03885,USA,STRATHAM,NH,03885,USA,
43.85,2019-04-26,2019-04-25,39.465,43.85,HFL100200630057,H D SMITH POMPANO BEACH-FL,FL,POMPANO BEACH,33069,USA,Pompano Beach,FL,33069,USA,
92.9,2019-04-26,2019-04-25,83.61,92.9,HKY100199670055,H D SMITH LOUISVILLE-KY,KY,LOUISVILLE,40228,USA,LOUISVILLE,KY,40228,USA,
3041.18,2019-04-26,2019-04-25,2737.062,3041.18,HKY100199670002,H D SMITH LOUISVILLE-KY,KY,LOUISVILLE,40228,USA,LOUISVILLE,KY,40228,USA,
2448.36,2019-04-27,2019-04-26,2203.5240000000003,2448.36,WGC100204730219,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,DEERFIELD,IL,60015,USA,
84647.33,2017-06-07,2017-06-06,76182.59700000001,84647.33,RBSD0417001537,MCKESSON CORPORATION,TX,Conroe,77303,USA,CARLISLE,PA,170131607,PG0,
45401.57,2019-05-11,2019-05-10,40861.413,45401.57,WAG76058,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,WINDSOR,WI,535989650,USA,
4504.3,2017-07-14,2017-07-13,4053.87,4504.3,RAD0181540,MCKESSON CORPORATION,TX,Conroe,77303,USA,CAMP HILL,PA,170112400,RR0,
1007.71,2017-05-27,2017-05-26,906.939,1007.71,WGC100140250057,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,DEERFIELD,IL,60015,RW0,
1645.96,2017-05-27,2017-05-26,1481.364,1645.96,WGC100140250121,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,DEERFIELD,IL,60015,RW0,
435.22,2017-05-27,2017-05-26,391.698,435.22,WGC100140250136,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,DEERFIELD,IL,60015,RW0,
41.25,2017-05-27,2017-05-26,37.125,41.25,WPS100173840066,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,PIttsburgh,PA,15275,RW0,
227.77,2019-05-01,2019-04-30,204.993,227.77,WIS100164680003,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,Fenton,MO,63026,USA,
393.86,2019-05-01,2019-04-30,354.474,393.86,ESH100201070019,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,St Louis,MO,63134,USA,
144.26,2019-05-01,2019-04-30,129.834,144.26,ESH100201070001,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,St Louis,MO,63134,USA,
172.08,2019-05-01,2019-04-30,154.872,172.08,ESI100201290004,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,Tempe,AZ,852841112,USA,
182.19,2019-05-01,2019-04-30,163.971,182.19,SDC100206230019,SMITH DRUG COMPANY,SC,SPARTANBURG,29301,USA,Spartanburg,SC,293011134,USA,
595.36,2019-05-01,2019-04-30,535.8240000000001,595.36,SDC100206230002,SMITH DRUG COMPANY,SC,SPARTANBURG,29301,USA,Spartanburg,SC,293011134,USA,
1.21,2019-05-01,2019-04-30,1.089,1.21,SGA100206300001,SMITH DRUG COMPANY,SC,SPARTANBURG,29301,USA,Spartanburg,SC,293011134,USA,
4558.77,2019-05-01,2019-04-30,4102.893,4558.77,WGC100205660081,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,DEERFIELD,IL,60015,USA,
53.9,2019-05-01,2019-04-30,48.51,53.9,WPS100210790006,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,PIttsburgh,PA,15275,USA,
58.82,2019-05-01,2019-04-30,52.938,58.82,CAT100197590011,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,ORLANDO,FL,32822,USA,
12060.83,2019-05-01,2019-04-30,10854.747,12060.83,CSA100197270028,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,ORLANDO,FL,32822,USA,
367.89,2019-05-01,2019-04-30,331.101,367.89,VDC100209720011,SMITH DRUG COMPANY,GA,VALDOSTA,316011206,USA,Valdosta,GA,316011206,USA,
8.24,2019-05-01,2019-04-30,7.416,8.24,VDC100209720035,SMITH DRUG COMPANY,GA,VALDOSTA,316011206,USA,Valdosta,GA,316011206,USA,
54828.19,2017-06-07,2017-06-06,49345.371,54828.19,WAG50787,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,WINDSOR,WI,535989650,RW0,
89.12,2017-06-01,2017-05-31,80.208,89.12,ARR100166330010,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,Eden Prairie,MN,553443417,RE0,
144.26,2019-05-01,2019-04-30,129.834,144.26,ESI100201180001,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,Tempe,AZ,852841112,USA,
4224.4,2019-05-01,2019-04-30,3801.96,4224.4,BDC100209360007,SMITH DRUG COMPANY,VT,Milton,054683236,USA,MILTON,VT,05468,USA,
91498.13,2017-07-01,2017-06-30,82348.31700000001,91498.13,WAG50827,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,WINDSOR,WI,535989650,RW0,
19.13,2017-06-01,2017-05-31,17.217,19.13,SNC100168690054,SMITH DRUG COMPANY,SC,SPARTANBURG,29301,USA,Spartanburg,SC,293011134,PS0,
5.25,2017-06-01,2017-05-31,4.725,5.25,SDC100167940142,SMITH DRUG COMPANY,SC,SPARTANBURG,29301,USA,Spartanburg,SC,293011134,PS0,
622.52,2017-06-01,2017-05-31,560.268,622.52,ESH100161550148,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,St Louis,MO,63134,BE6,
677.3,2017-06-01,2017-05-31,609.57,677.3,VDC100168180015,SMITH DRUG COMPANY,GA,VALDOSTA,316011206,USA,Valdosta,GA,316011206,RS0,
9.61,2017-06-01,2017-05-31,8.649,9.61,WGC100141250055,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,DEERFIELD,IL,60015,RW0,
1794.81,2017-06-01,2017-05-31,1615.329,1794.81,ESI100161790044,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,Tempe,AZ,852841112,BE8,
600.8,2017-06-01,2017-05-31,540.7199999999999,600.8,VGA100168630003,SMITH DRUG COMPANY,GA,VALDOSTA,316011206,USA,Valdosta,GA,316011206,RS0,
270.37,2017-06-01,2017-05-31,243.333,270.37,ESH100161670053,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,St Louis,MO,63134,BE6,
58.52,2017-06-01,2017-05-31,52.668000000000006,58.52,ESN100162910035,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,BURLINGTON,NJ,08016,FE4,
66.65,2017-06-01,2017-05-31,59.98500000000001,66.65,ESW100163160017,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,WHITESTOWN,IN,46075,FE4,
218115.91,2018-02-09,2018-02-08,196304.319,218115.91,SWYM0417003557,MCKESSON CORPORATION,TX,Conroe,77303,USA,BOISE,ID,83706,FA3,
166.62,2019-05-02,2019-05-01,149.958,166.62,MIR100207150079,MCKESSON CORPORATION,TX,Conroe,77303,USA,Conroe,TX,77303,USA,
2981.7,2019-05-02,2019-05-01,2683.53,2981.7,MRR100206450125,MCKESSON CORPORATION,TX,Conroe,77303,USA,Conroe,TX,77303,USA,
